"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"X10007"	"508"	"3260"	"2676"	"2260"	"3366"	"2490"
"X100073347"	"32"	"119"	"32"	"25"	"363"	"281"
"X10008"	"40"	"174"	"101"	"59"	"236"	"100"
"X10009"	"360"	"8745"	"2230"	"1454"	"5658"	"5484"
"X100093630"	"556"	"1428"	"1255"	"715"	"1988"	"1109"
"X100093631"	"367"	"2738"	"1605"	"563"	"2879"	"2103"
"X1001"	"70"	"1044"	"308"	"399"	"1062"	"599"
"X10010"	"380"	"2889"	"1637"	"810"	"3375"	"3253"
"X100101115"	"0"	"0"	"0"	"0"	"0"	"0"
"X100101116"	"0"	"0"	"0"	"0"	"0"	"0"
"X100101117"	"0"	"0"	"0"	"0"	"0"	"0"
"X100101118"	"0"	"0"	"0"	"0"	"0"	"0"
"X100101120"	"0"	"0"	"0"	"0"	"0"	"0"
"X100101121"	"0"	"0"	"0"	"0"	"0"	"0"
"X100101266"	"22"	"145"	"37"	"21"	"105"	"93"
"X100101267"	"607"	"6842"	"3874"	"5114"	"5341"	"6008"
"X100101467"	"374"	"5370"	"2283"	"773"	"4431"	"4080"
"X100101490"	"28"	"695"	"176"	"147"	"572"	"462"
"X100101938"	"0"	"0"	"3"	"13"	"0"	"0"
"X10011"	"477"	"3029"	"1509"	"1435"	"3297"	"2695"
"X100113378"	"1"	"3"	"0"	"0"	"13"	"4"
"X100113379"	"0"	"1"	"0"	"0"	"1"	"2"
"X100113380"	"3"	"19"	"11"	"4"	"21"	"15"
"X100113381"	"3"	"61"	"16"	"2"	"65"	"56"
"X100113382"	"0"	"3"	"0"	"0"	"0"	"0"
"X100113384"	"0"	"4"	"2"	"0"	"6"	"0"
"X100113385"	"0"	"17"	"9"	"0"	"44"	"29"
"X100113386"	"2"	"475"	"62"	"102"	"221"	"105"
"X100113389"	"0"	"20"	"8"	"6"	"10"	"7"
