"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"X100506496"	"4"	"91"	"10"	"2"	"35"	"36"
"X100506497"	"86"	"177"	"78"	"66"	"182"	"185"
"X100506498"	"0"	"1"	"4"	"0"	"0"	"0"
"X100506499"	"1"	"19"	"6"	"5"	"23"	"18"
"X100506500"	"34"	"117"	"51"	"24"	"99"	"112"
"X100506501"	"38"	"290"	"77"	"47"	"310"	"236"
"X100506502"	"0"	"0"	"2"	"0"	"10"	"2"
"X100506503"	"13"	"200"	"42"	"18"	"167"	"164"
"X100506504"	"63"	"1231"	"951"	"560"	"790"	"790"
"X100506505"	"4"	"0"	"6"	"0"	"0"	"0"
"X100506506"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506507"	"0"	"3"	"4"	"2"	"0"	"4"
"X100506510"	"0"	"0"	"0"	"0"	"0"	"2"
"X100506511"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506512"	"2"	"0"	"13"	"1"	"0"	"2"
"X100506513"	"0"	"100"	"3"	"2"	"58"	"31"
"X100506514"	"15"	"21"	"16"	"20"	"20"	"29"
"X100506515"	"12"	"37"	"10"	"6"	"43"	"34"
"X100506516"	"0"	"26"	"20"	"12"	"73"	"47"
"X100506517"	"1620"	"363"	"1452"	"773"	"314"	"353"
"X100506518"	"101"	"360"	"247"	"245"	"594"	"332"
"X100506520"	"6"	"49"	"14"	"11"	"2"	"24"
"X100506521"	"0"	"2"	"2"	"0"	"4"	"2"
"X100506522"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506523"	"6"	"449"	"60"	"39"	"162"	"155"
"X100506524"	"4"	"29"	"38"	"29"	"10"	"4"
"X100506525"	"0"	"3"	"4"	"0"	"4"	"2"
"X100506526"	"20"	"0"	"59"	"9"	"0"	"1"
"X100506527"	"101"	"4"	"1324"	"2321"	"0"	"0"
"X100506528"	"62"	"135"	"118"	"57"	"176"	"122"
"X100506529"	"4"	"2"	"4"	"0"	"0"	"0"
"X100506530"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506532"	"2"	"0"	"8"	"21"	"0"	"0"
"X100506533"	"8"	"433"	"27"	"11"	"90"	"269"
"X100506534"	"0"	"2"	"0"	"0"	"8"	"7"
"X100506535"	"0"	"26"	"9"	"3"	"12"	"43"
"X100506536"	"9"	"602"	"155"	"167"	"397"	"585"
"X100506537"	"1"	"18"	"6"	"0"	"18"	"11"
"X100506538"	"47"	"383"	"125"	"37"	"606"	"601"
"X100506540"	"9"	"129"	"35"	"13"	"128"	"93"
"X100506541"	"0"	"30"	"3"	"8"	"7"	"21"
"X100506542"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506543"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506544"	"28"	"77"	"193"	"51"	"90"	"71"
"X100506545"	"0"	"38"	"0"	"0"	"19"	"24"
"X100506546"	"20"	"212"	"60"	"54"	"296"	"279"
"X100506547"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506548"	"540"	"10226"	"1756"	"1092"	"8163"	"8996"
"X100506549"	"0"	"2"	"2"	"1"	"3"	"0"
"X100506550"	"221"	"1975"	"1130"	"1047"	"1474"	"1561"
"X100506551"	"6"	"19"	"22"	"24"	"5"	"4"
"X100506553"	"1"	"3"	"2"	"0"	"1"	"1"
"X100506554"	"0"	"4"	"5"	"5"	"4"	"7"
"X100506555"	"5"	"61"	"38"	"19"	"19"	"17"
"X100506556"	"608"	"4685"	"1922"	"1270"	"2193"	"2144"
"X100506557"	"0"	"28"	"0"	"6"	"10"	"4"
"X100506558"	"0"	"0"	"0"	"0"	"1"	"0"
"X100506559"	"1"	"5"	"2"	"0"	"2"	"0"
"X100506560"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506561"	"55"	"400"	"209"	"143"	"330"	"204"
"X100506562"	"9"	"108"	"38"	"20"	"88"	"85"
"X100506563"	"2"	"5"	"22"	"22"	"0"	"0"
"X100506564"	"0"	"4"	"1"	"15"	"5"	"10"
"X100506566"	"0"	"16"	"5"	"0"	"4"	"2"
"X100506567"	"6"	"726"	"131"	"143"	"302"	"473"
"X100506570"	"0"	"0"	"0"	"0"	"1"	"0"
"X100506571"	"0"	"5"	"7"	"8"	"2"	"4"
"X100506572"	"497"	"534"	"1030"	"246"	"417"	"362"
"X100506573"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506574"	"0"	"2"	"2"	"0"	"0"	"0"
"X100506575"	"14"	"166"	"74"	"33"	"65"	"79"
"X100506577"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506579"	"0"	"6"	"2"	"1"	"6"	"6"
"X100506580"	"0"	"19"	"26"	"7"	"16"	"18"
"X100506581"	"69"	"78"	"146"	"193"	"133"	"30"
"X100506582"	"24"	"19"	"111"	"44"	"22"	"4"
"X100506583"	"0"	"0"	"2"	"0"	"0"	"0"
"X100506584"	"533"	"3055"	"2814"	"2709"	"3627"	"2694"
"X100506585"	"11"	"76"	"7"	"17"	"47"	"20"
"X100506586"	"0"	"12"	"20"	"10"	"14"	"5"
"X100506587"	"205"	"4535"	"1349"	"1762"	"2660"	"2310"
"X100506588"	"520"	"847"	"1299"	"763"	"623"	"677"
"X100506589"	"1"	"3"	"6"	"16"	"3"	"6"
"X100506590"	"0"	"0"	"2"	"2"	"0"	"0"
"X100506591"	"1"	"113"	"24"	"12"	"54"	"122"
"X100506592"	"0"	"17"	"2"	"1"	"10"	"9"
"X100506594"	"0"	"8"	"2"	"3"	"9"	"2"
"X100506595"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506596"	"2"	"12"	"12"	"25"	"37"	"19"
"X100506597"	"12"	"815"	"137"	"463"	"409"	"419"
"X100506599"	"39"	"488"	"215"	"264"	"283"	"223"
"X100506600"	"2"	"5"	"9"	"1"	"6"	"2"
"X100506601"	"0"	"9"	"1"	"0"	"0"	"3"
"X100506602"	"0"	"7"	"2"	"4"	"31"	"2"
"X100506603"	"58"	"353"	"316"	"235"	"281"	"359"
"X100506605"	"2"	"43"	"11"	"9"	"64"	"57"
"X100506606"	"15"	"193"	"146"	"26"	"172"	"102"
"X100506607"	"0"	"0"	"1"	"1"	"0"	"0"
"X100506608"	"4"	"131"	"101"	"6"	"41"	"79"
"X100506609"	"0"	"2"	"14"	"0"	"0"	"0"
"X100506610"	"0"	"1"	"7"	"0"	"0"	"0"
"X100506611"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506612"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506613"	"3"	"318"	"37"	"69"	"114"	"181"
"X100506614"	"3"	"21"	"1"	"10"	"12"	"10"
"X100506616"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506618"	"9"	"40"	"64"	"118"	"12"	"20"
"X100506619"	"6"	"6"	"4"	"2"	"2"	"4"
"X100506620"	"39"	"915"	"237"	"302"	"768"	"680"
"X100506621"	"67"	"80"	"213"	"26"	"53"	"29"
"X100506622"	"6"	"4"	"8"	"2"	"0"	"0"
"X100506624"	"11"	"632"	"137"	"103"	"284"	"379"
"X100506625"	"0"	"0"	"4"	"7"	"0"	"0"
"X100506627"	"1"	"45"	"40"	"24"	"52"	"36"
"X100506628"	"41"	"163"	"76"	"46"	"245"	"145"
"X100506629"	"0"	"19"	"10"	"3"	"4"	"5"
"X100506630"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506631"	"0"	"4"	"0"	"4"	"0"	"0"
"X100506634"	"95"	"596"	"868"	"1072"	"474"	"529"
"X100506635"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506636"	"7"	"152"	"33"	"16"	"64"	"96"
"X100506637"	"73"	"70"	"299"	"155"	"28"	"26"
"X100506638"	"53"	"488"	"258"	"184"	"368"	"319"
"X100506639"	"61"	"1098"	"335"	"311"	"649"	"735"
"X100506641"	"0"	"23"	"8"	"4"	"22"	"21"
"X100506642"	"24"	"47"	"187"	"151"	"42"	"41"
"X100506643"	"3"	"21"	"20"	"13"	"27"	"16"
"X100506644"	"15"	"70"	"43"	"9"	"26"	"49"
"X100506646"	"0"	"1"	"2"	"0"	"0"	"2"
"X100506647"	"4"	"6"	"6"	"0"	"4"	"2"
"X100506649"	"39"	"181"	"154"	"22"	"177"	"166"
"X100506650"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506651"	"38"	"269"	"501"	"74"	"347"	"250"
"X100506652"	"0"	"0"	"1"	"0"	"0"	"0"
"X100506653"	"298"	"5072"	"1731"	"428"	"4285"	"7079"
"X100506655"	"0"	"43"	"7"	"8"	"22"	"10"
"X100506657"	"3"	"22"	"16"	"21"	"30"	"28"
"X100506658"	"101"	"276"	"201"	"111"	"210"	"361"
"X100506659"	"9"	"23"	"34"	"16"	"41"	"40"
"X100506660"	"2"	"206"	"27"	"14"	"128"	"119"
"X100506661"	"18"	"737"	"189"	"97"	"242"	"300"
"X100506662"	"8"	"156"	"55"	"104"	"67"	"249"
"X100506663"	"0"	"11"	"3"	"0"	"0"	"2"
"X100506664"	"1"	"4"	"7"	"5"	"4"	"5"
"X100506666"	"0"	"0"	"0"	"1"	"0"	"0"
"X100506667"	"1"	"2"	"0"	"0"	"1"	"0"
"X100506668"	"154"	"1722"	"629"	"838"	"1031"	"890"
"X100506669"	"2"	"90"	"57"	"40"	"73"	"55"
"X100506670"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506671"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506673"	"0"	"2"	"0"	"0"	"3"	"0"
"X100506674"	"80"	"63"	"434"	"413"	"66"	"80"
"X100506675"	"6"	"0"	"0"	"0"	"0"	"0"
"X100506676"	"51"	"223"	"107"	"38"	"194"	"206"
"X100506677"	"0"	"2"	"0"	"0"	"0"	"0"
"X100506678"	"6"	"28"	"26"	"2"	"4"	"6"
"X100506679"	"14"	"420"	"100"	"109"	"251"	"222"
"X100506680"	"2"	"54"	"7"	"2"	"48"	"42"
"X100506681"	"0"	"4"	"5"	"4"	"5"	"0"
"X100506682"	"0"	"0"	"2"	"0"	"0"	"2"
"X100506683"	"0"	"1"	"1"	"2"	"1"	"1"
"X100506684"	"3"	"2"	"2"	"2"	"0"	"0"
"X100506686"	"75"	"306"	"272"	"171"	"239"	"210"
"X100506687"	"55"	"139"	"38"	"19"	"73"	"92"
"X100506688"	"0"	"6"	"2"	"8"	"14"	"14"
"X100506689"	"0"	"0"	"0"	"0"	"0"	"1"
"X100506691"	"2"	"11"	"2"	"3"	"25"	"13"
"X100506692"	"22"	"60"	"140"	"33"	"10"	"6"
"X100506693"	"82"	"1172"	"718"	"377"	"1067"	"1241"
"X100506694"	"12"	"410"	"177"	"204"	"192"	"235"
"X100506695"	"2"	"69"	"6"	"7"	"46"	"20"
"X100506696"	"130"	"157"	"98"	"104"	"167"	"229"
"X100506697"	"19"	"57"	"48"	"9"	"26"	"39"
"X100506699"	"0"	"0"	"0"	"0"	"0"	"2"
"X100506700"	"0"	"24"	"0"	"0"	"2"	"1"
"X100506701"	"340"	"621"	"939"	"471"	"560"	"441"
"X100506702"	"3"	"0"	"12"	"2"	"4"	"0"
"X100506703"	"34"	"585"	"130"	"79"	"540"	"715"
"X100506704"	"0"	"3"	"2"	"1"	"1"	"1"
"X100506705"	"4"	"708"	"28"	"45"	"588"	"460"
"X100506707"	"12"	"152"	"0"	"4"	"17"	"20"
"X100506708"	"0"	"18"	"3"	"0"	"15"	"3"
"X100506709"	"4"	"65"	"19"	"17"	"35"	"47"
"X100506710"	"642"	"9548"	"4454"	"2797"	"5518"	"6308"
"X100506711"	"14"	"23"	"62"	"94"	"123"	"26"
"X100506713"	"92"	"148"	"253"	"114"	"95"	"98"
"X100506714"	"187"	"1044"	"1142"	"894"	"900"	"1055"
"X100506717"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506718"	"7"	"280"	"50"	"82"	"113"	"122"
"X100506719"	"29"	"41"	"40"	"9"	"69"	"32"
"X100506720"	"0"	"1"	"0"	"2"	"2"	"1"
"X100506723"	"0"	"2"	"1"	"0"	"0"	"0"
"X100506724"	"2"	"6"	"2"	"0"	"2"	"5"
"X100506725"	"159"	"27"	"3005"	"161"	"10"	"4"
"X100506726"	"4"	"78"	"32"	"65"	"117"	"125"
"X100506727"	"29"	"270"	"138"	"67"	"215"	"221"
"X100506728"	"1465"	"1515"	"1255"	"518"	"1349"	"1826"
"X100506729"	"0"	"81"	"5"	"3"	"15"	"10"
"X100506730"	"253"	"833"	"630"	"348"	"804"	"618"
"X100506731"	"11"	"717"	"336"	"489"	"74"	"71"
"X100506732"	"3"	"5"	"0"	"0"	"1"	"5"
"X100506733"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506735"	"2"	"4"	"22"	"10"	"8"	"4"
"X100506736"	"11"	"2"	"34"	"12"	"2"	"1"
"X100506737"	"4"	"229"	"7"	"4"	"87"	"63"
"X100506738"	"0"	"6"	"3"	"4"	"10"	"6"
"X100506739"	"27"	"217"	"498"	"300"	"112"	"58"
"X100506740"	"10"	"2"	"25"	"18"	"19"	"13"
"X100506741"	"33"	"738"	"539"	"146"	"957"	"669"
"X100506742"	"12"	"22"	"16"	"2"	"16"	"12"
"X100506744"	"2"	"0"	"0"	"0"	"0"	"0"
"X100506745"	"0"	"9"	"7"	"1"	"6"	"5"
"X100506746"	"136"	"48"	"397"	"116"	"34"	"18"
"X100506747"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506748"	"233"	"1669"	"792"	"224"	"1550"	"1456"
"X100506749"	"0"	"1"	"14"	"1"	"0"	"0"
"X100506750"	"0"	"8"	"2"	"0"	"3"	"2"
"X100506751"	"3"	"17"	"26"	"1"	"14"	"14"
"X100506752"	"9"	"123"	"39"	"114"	"43"	"74"
"X100506753"	"16"	"58"	"17"	"37"	"43"	"56"
"X100506754"	"2"	"4"	"1"	"0"	"3"	"4"
"X100506755"	"244"	"77"	"206"	"150"	"45"	"54"
"X100506756"	"0"	"1"	"0"	"0"	"1"	"0"
"X100506757"	"0"	"1"	"8"	"8"	"4"	"4"
"X100506758"	"0"	"27"	"0"	"0"	"15"	"7"
"X100506760"	"61"	"1189"	"234"	"223"	"1321"	"957"
"X100506761"	"184"	"831"	"360"	"332"	"1058"	"663"
"X100506762"	"8"	"22"	"15"	"15"	"18"	"24"
"X100506763"	"51"	"290"	"230"	"167"	"243"	"210"
"X100506764"	"0"	"2"	"0"	"2"	"4"	"0"
"X100506765"	"0"	"0"	"1"	"0"	"7"	"2"
"X100506766"	"71"	"60"	"65"	"66"	"138"	"85"
"X100506767"	"4"	"7"	"3"	"0"	"7"	"4"
"X100506768"	"16"	"216"	"62"	"60"	"224"	"216"
"X100506769"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506772"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506773"	"1"	"0"	"0"	"0"	"0"	"2"
"X100506774"	"163"	"7084"	"1217"	"724"	"1799"	"2953"
"X100506775"	"2"	"7"	"14"	"10"	"6"	"4"
"X100506776"	"21"	"1"	"13"	"4"	"4"	"2"
"X100506777"	"2"	"25"	"9"	"10"	"64"	"23"
"X100506778"	"50"	"239"	"390"	"564"	"226"	"182"
"X100506779"	"81"	"563"	"255"	"254"	"439"	"571"
"X100506781"	"15"	"1186"	"83"	"68"	"722"	"699"
"X100506782"	"22"	"75"	"370"	"555"	"172"	"70"
"X100506783"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506784"	"6"	"296"	"58"	"31"	"237"	"232"
"X100506786"	"0"	"5"	"10"	"6"	"8"	"5"
"X100506787"	"0"	"2"	"0"	"0"	"4"	"0"
"X100506789"	"34"	"113"	"33"	"11"	"48"	"54"
"X100506790"	"0"	"0"	"1"	"0"	"1"	"1"
"X100506791"	"32"	"0"	"134"	"109"	"0"	"0"
"X100506792"	"4"	"0"	"5"	"0"	"0"	"0"
"X100506793"	"719"	"365"	"1511"	"561"	"164"	"188"
"X100506795"	"130"	"35"	"184"	"82"	"10"	"14"
"X100506797"	"2"	"9"	"0"	"0"	"2"	"13"
"X100506798"	"4"	"0"	"49"	"15"	"2"	"2"
"X100506799"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506800"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506801"	"0"	"32"	"8"	"7"	"24"	"22"
"X100506802"	"5"	"6"	"8"	"8"	"13"	"6"
"X100506804"	"20"	"60"	"68"	"12"	"66"	"46"
"X100506805"	"0"	"40"	"14"	"0"	"52"	"20"
"X100506806"	"0"	"8"	"3"	"1"	"10"	"3"
"X100506808"	"0"	"2"	"0"	"0"	"3"	"4"
"X100506809"	"17"	"118"	"66"	"21"	"225"	"118"
"X100506810"	"3"	"4"	"6"	"6"	"20"	"14"
"X100506812"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506813"	"0"	"136"	"2"	"0"	"252"	"106"
"X100506814"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506815"	"2"	"25"	"3"	"0"	"22"	"6"
"X100506816"	"0"	"4"	"0"	"0"	"1"	"0"
"X100506817"	"0"	"4"	"0"	"0"	"0"	"0"
"X100506818"	"50"	"371"	"326"	"369"	"294"	"373"
"X100506819"	"20"	"114"	"107"	"68"	"92"	"90"
"X100506821"	"7"	"92"	"39"	"22"	"135"	"63"
"X100506822"	"3"	"226"	"20"	"50"	"160"	"159"
"X100506823"	"0"	"4"	"4"	"2"	"2"	"2"
"X100506824"	"0"	"6"	"0"	"2"	"6"	"4"
"X100506825"	"0"	"4"	"13"	"14"	"14"	"5"
"X100506826"	"11"	"81"	"63"	"17"	"108"	"97"
"X100506827"	"18"	"8"	"24"	"8"	"21"	"18"
"X100506828"	"197"	"315"	"706"	"171"	"388"	"282"
"X100506829"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506830"	"11"	"83"	"42"	"30"	"29"	"28"
"X100506831"	"42"	"867"	"178"	"138"	"425"	"412"
"X100506832"	"0"	"24"	"3"	"0"	"7"	"13"
"X100506834"	"1"	"45"	"46"	"36"	"41"	"47"
"X100506835"	"10"	"14"	"12"	"22"	"4"	"4"
"X100506836"	"22"	"227"	"127"	"77"	"150"	"101"
"X100506837"	"2"	"5"	"0"	"1"	"0"	"1"
"X100506838"	"0"	"6"	"5"	"3"	"0"	"0"
"X100506840"	"1"	"19"	"47"	"18"	"31"	"14"
"X100506841"	"179"	"3585"	"979"	"598"	"2274"	"2469"
"X100506842"	"34"	"405"	"193"	"64"	"228"	"244"
"X100506843"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506844"	"328"	"488"	"677"	"624"	"789"	"443"
"X100506845"	"0"	"0"	"0"	"0"	"0"	"1"
"X100506846"	"0"	"0"	"50"	"89"	"1"	"0"
"X100506847"	"6"	"114"	"67"	"27"	"93"	"66"
"X100506848"	"32"	"700"	"199"	"106"	"192"	"614"
"X100506849"	"0"	"2"	"0"	"0"	"2"	"3"
"X100506850"	"55"	"799"	"237"	"110"	"316"	"372"
"X100506851"	"10"	"4"	"183"	"106"	"0"	"0"
"X100506852"	"0"	"0"	"1"	"0"	"0"	"0"
"X100506853"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506854"	"0"	"3"	"0"	"0"	"0"	"3"
"X100506855"	"4"	"96"	"23"	"62"	"59"	"36"
"X100506856"	"0"	"10"	"2"	"6"	"2"	"10"
"X100506857"	"161"	"78"	"132"	"46"	"62"	"38"
"X100506858"	"0"	"1"	"0"	"0"	"0"	"3"
"X100506859"	"5"	"47"	"28"	"7"	"48"	"21"
"X100506860"	"6"	"12"	"16"	"7"	"11"	"7"
"X100506861"	"0"	"0"	"1"	"0"	"0"	"0"
"X100506862"	"0"	"6"	"7"	"1"	"2"	"4"
"X100506863"	"0"	"20"	"6"	"2"	"4"	"4"
"X100506865"	"0"	"2"	"0"	"0"	"0"	"0"
"X100506866"	"3"	"67"	"34"	"16"	"37"	"57"
"X100506867"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506869"	"0"	"5"	"6"	"2"	"2"	"1"
"X100506870"	"130"	"2006"	"464"	"249"	"907"	"1094"
"X100506871"	"0"	"5"	"14"	"3"	"4"	"3"
"X100506874"	"16"	"6"	"17"	"6"	"17"	"14"
"X100506875"	"2"	"19"	"15"	"4"	"20"	"4"
"X100506876"	"0"	"28"	"3"	"4"	"0"	"0"
"X100506877"	"0"	"0"	"2"	"0"	"0"	"0"
"X100506880"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506881"	"93"	"101"	"195"	"140"	"67"	"46"
"X100506882"	"0"	"0"	"1"	"4"	"2"	"0"
"X100506884"	"0"	"0"	"2"	"1"	"0"	"0"
"X100506885"	"15"	"15"	"6"	"4"	"42"	"22"
"X100506886"	"0"	"86"	"73"	"13"	"14"	"25"
"X100506887"	"0"	"10"	"4"	"0"	"8"	"10"
"X100506888"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506889"	"2"	"39"	"2"	"6"	"6"	"5"
"X100506890"	"0"	"0"	"2"	"0"	"9"	"2"
"X100506891"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506892"	"34"	"67"	"113"	"77"	"49"	"105"
"X100506893"	"43"	"79"	"122"	"32"	"65"	"91"
"X100506894"	"160"	"950"	"480"	"154"	"619"	"864"
"X100506895"	"0"	"92"	"2"	"3"	"128"	"64"
"X100506897"	"0"	"2"	"0"	"0"	"0"	"1"
"X100506899"	"0"	"2"	"0"	"0"	"0"	"0"
"X100506900"	"116"	"157"	"168"	"48"	"394"	"216"
"X100506901"	"2"	"152"	"64"	"34"	"147"	"113"
"X100506902"	"3"	"73"	"60"	"9"	"2"	"4"
"X100506904"	"389"	"3685"	"2424"	"629"	"2840"	"2735"
"X100506905"	"0"	"0"	"2"	"0"	"0"	"0"
"X100506906"	"4"	"206"	"114"	"46"	"123"	"128"
"X100506907"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506908"	"0"	"11"	"2"	"4"	"2"	"15"
"X100506910"	"0"	"1"	"3"	"2"	"0"	"2"
"X100506911"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506912"	"0"	"1"	"11"	"1"	"4"	"0"
"X100506913"	"3"	"6"	"6"	"4"	"4"	"1"
"X100506914"	"73"	"577"	"314"	"262"	"414"	"460"
"X100506915"	"0"	"7"	"4"	"1"	"0"	"0"
"X100506917"	"0"	"2"	"4"	"0"	"2"	"6"
"X100506918"	"12"	"482"	"83"	"76"	"1111"	"861"
"X100506919"	"7"	"0"	"79"	"339"	"0"	"0"
"X100506920"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506921"	"25"	"301"	"217"	"66"	"407"	"248"
"X100506922"	"92"	"264"	"339"	"147"	"173"	"281"
"X100506923"	"0"	"0"	"0"	"2"	"0"	"0"
"X100506924"	"236"	"78"	"158"	"212"	"96"	"44"
"X100506926"	"0"	"0"	"0"	"0"	"1"	"0"
"X100506927"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506928"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506929"	"0"	"4"	"0"	"0"	"6"	"2"
"X100506930"	"80"	"782"	"371"	"283"	"1112"	"771"
"X100506931"	"0"	"39"	"3"	"5"	"18"	"17"
"X100506932"	"0"	"6"	"0"	"12"	"0"	"0"
"X100506934"	"0"	"32"	"5"	"8"	"49"	"82"
"X100506935"	"29"	"254"	"165"	"57"	"227"	"226"
"X100506936"	"56"	"633"	"485"	"314"	"557"	"632"
"X100506937"	"0"	"0"	"1"	"0"	"0"	"0"
"X100506939"	"136"	"254"	"264"	"85"	"198"	"195"
"X100506940"	"0"	"5"	"0"	"0"	"0"	"0"
"X100506941"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506942"	"2"	"63"	"17"	"28"	"62"	"92"
"X100506944"	"0"	"1"	"13"	"6"	"0"	"0"
"X100506945"	"0"	"1"	"0"	"0"	"0"	"0"
"X100506946"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506947"	"0"	"0"	"4"	"0"	"6"	"2"
"X100506948"	"830"	"2019"	"1293"	"405"	"1595"	"1381"
"X100506949"	"0"	"0"	"1"	"0"	"0"	"0"
"X100506950"	"2"	"29"	"9"	"4"	"18"	"14"
"X100506951"	"10"	"62"	"13"	"2"	"33"	"37"
"X100506954"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506955"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506956"	"0"	"0"	"0"	"0"	"1"	"0"
"X100506957"	"1"	"23"	"3"	"3"	"17"	"16"
"X100506958"	"0"	"3"	"0"	"0"	"6"	"1"
"X100506959"	"4"	"6"	"62"	"263"	"2"	"4"
"X100506960"	"110"	"667"	"293"	"338"	"641"	"639"
"X100506961"	"22"	"107"	"89"	"50"	"81"	"70"
"X100506963"	"10"	"81"	"43"	"23"	"71"	"58"
"X100506964"	"3"	"23"	"25"	"13"	"21"	"21"
"X100506965"	"2027"	"14270"	"19536"	"10929"	"8969"	"10856"
"X100506966"	"8"	"155"	"448"	"129"	"65"	"80"
"X100506967"	"0"	"12"	"2"	"0"	"2"	"4"
"X100506969"	"464"	"3037"	"2556"	"702"	"2345"	"2301"
"X100506971"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506972"	"0"	"2"	"2"	"2"	"0"	"0"
"X100506973"	"21"	"339"	"135"	"36"	"225"	"340"
"X100506974"	"29"	"116"	"38"	"28"	"235"	"143"
"X100506975"	"0"	"25"	"18"	"10"	"53"	"45"
"X100506976"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506977"	"0"	"1"	"2"	"2"	"0"	"0"
"X100506978"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506979"	"50"	"35"	"144"	"20"	"32"	"19"
"X100506980"	"0"	"3"	"0"	"0"	"1"	"1"
"X100506982"	"0"	"30"	"9"	"4"	"19"	"12"
"X100506983"	"2"	"10"	"3"	"0"	"8"	"5"
"X100506984"	"1"	"5"	"9"	"8"	"18"	"8"
"X100506985"	"42"	"720"	"450"	"117"	"2130"	"1363"
"X100506986"	"1"	"33"	"21"	"3"	"32"	"21"
"X100506988"	"78"	"1008"	"628"	"931"	"585"	"773"
"X100506989"	"40"	"688"	"256"	"96"	"537"	"794"
"X100506990"	"15"	"409"	"372"	"223"	"165"	"143"
"X100506991"	"0"	"14"	"2"	"3"	"4"	"2"
"X100506992"	"109"	"412"	"507"	"314"	"398"	"439"
"X100506993"	"0"	"0"	"0"	"0"	"0"	"0"
"X100506994"	"18"	"361"	"192"	"69"	"386"	"326"
"X100506995"	"52"	"60"	"83"	"29"	"34"	"31"
"X100506996"	"0"	"10"	"5"	"8"	"10"	"8"
"X100506997"	"2"	"0"	"0"	"0"	"0"	"0"
"X100506999"	"0"	"0"	"0"	"3"	"2"	"0"
"X100507000"	"0"	"17"	"4"	"0"	"6"	"9"
"X100507001"	"13"	"16"	"32"	"10"	"8"	"4"
"X100507002"	"21"	"10"	"61"	"23"	"14"	"12"
"X100507003"	"9"	"239"	"12"	"17"	"109"	"146"
"X100507004"	"28"	"256"	"115"	"93"	"416"	"236"
"X100507005"	"15"	"23"	"41"	"19"	"43"	"28"
"X100507006"	"45"	"397"	"267"	"64"	"306"	"303"
"X100507007"	"4"	"3"	"2"	"1"	"0"	"0"
"X100507008"	"395"	"14"	"1845"	"121"	"10"	"10"
"X100507009"	"32"	"82"	"65"	"73"	"364"	"107"
"X100507010"	"354"	"1067"	"484"	"243"	"1017"	"978"
"X100507012"	"7"	"1"	"11"	"9"	"2"	"2"
"X100507013"	"0"	"8"	"6"	"5"	"2"	"0"
"X100507015"	"63"	"125"	"81"	"14"	"171"	"133"
"X100507018"	"27"	"402"	"181"	"93"	"299"	"252"
"X100507019"	"6"	"8"	"38"	"13"	"0"	"4"
"X100507020"	"0"	"0"	"0"	"0"	"0"	"0"
"X100507022"	"0"	"126"	"52"	"19"	"84"	"114"
